epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5524,1.47327,4.52132,1.25436,0,0,0,0,1.1632,4.30391,0.93881,5.383e-05,5.383e-05,5.383e-05
2,24.3918,1.23996,4.26373,1.07248,0.00121,0.03175,0.00135,0.00082,0.97188,4.26547,0.85614,0.000111543,0.000111543,0.000111543
3,34.5033,1.12155,4.01204,0.97763,0.00257,0.07937,0.00679,0.00221,0.90072,4.26382,0.83099,0.000165197,0.000165197,0.000165197
4,44.555,1.06714,3.77812,0.95381,0.01145,0.61905,0.16467,0.09564,0.97074,4.17315,0.84022,0.000214789,0.000214789,0.000214789
5,54.5122,1.0681,3.56552,0.94427,0.00975,0.58254,0.22243,0.17216,0.90821,4.08793,0.82738,0.000260322,0.000260322,0.000260322
6,65.7026,1.03508,3.21874,0.91942,0.00718,0.5,0.2836,0.17044,0.92275,3.99992,0.83111,0.000301794,0.000301794,0.000301794
7,75.8141,1.08276,2.84431,0.93416,0.00974,0.55556,0.37948,0.22815,0.99669,3.96635,0.86533,0.000339206,0.000339206,0.000339206
8,86.1679,1.06115,2.55757,0.9265,0.96277,0.11111,0.37991,0.26914,0.90965,3.79101,0.85806,0.000372557,0.000372557,0.000372557
9,97.2629,1.14532,2.29902,0.93386,0.96689,0.11111,0.55146,0.33624,0.97702,3.582,0.86629,0.000401849,0.000401849,0.000401849
10,107.892,1.04858,1.90564,0.91547,0.92564,0.24541,0.71675,0.49583,0.9603,3.32149,0.85468,0.00042708,0.00042708,0.00042708
11,119.029,1.0261,1.65807,0.9012,0.91266,0.33333,0.82281,0.58852,0.93075,2.98796,0.85811,0.00044825,0.00044825,0.00044825
12,128.604,1.01418,1.51287,0.9086,0.9099,0.48337,0.92602,0.67509,0.95232,2.74682,0.86068,0.00046536,0.00046536,0.00046536
13,138.671,0.99163,1.32052,0.91002,0.87018,0.65996,0.98907,0.66715,1.08991,2.38529,0.89903,0.000464476,0.000464476,0.000464476
14,148.14,0.95248,1.21812,0.89171,0.87759,0.83731,0.995,0.75501,0.95156,1.86214,0.86431,0.000439099,0.000439099,0.000439099
15,158.608,0.91608,1.11183,0.894,0.87743,1,0.995,0.68025,1.16898,1.56631,0.91867,0.000413722,0.000413722,0.000413722
16,169.418,0.92715,1.04206,0.90209,0.80576,0.97778,0.96389,0.75168,0.95282,1.26685,0.8697,0.000388345,0.000388345,0.000388345
17,179.237,0.90956,1.03429,0.90506,0.87033,1,0.995,0.8169,0.8261,1.10375,0.8476,0.000362968,0.000362968,0.000362968
18,188.788,0.89083,0.95809,0.90738,0.87903,1,0.995,0.77172,0.93874,0.99134,0.88613,0.000337591,0.000337591,0.000337591
19,198.539,0.87429,0.90878,0.92101,0.9084,1,0.995,0.79382,0.8074,0.90181,0.8503,0.000312214,0.000312214,0.000312214
20,211.195,0.86179,0.91876,0.88831,0.8878,1,0.995,0.81262,0.76521,0.86445,0.8462,0.000286837,0.000286837,0.000286837
21,220.64,0.82861,0.87328,0.88226,0.90386,1,0.995,0.80071,0.82708,0.82514,0.84949,0.00026146,0.00026146,0.00026146
22,229.794,0.75916,0.78935,0.86357,0.88406,1,0.995,0.81398,0.81009,0.81665,0.85133,0.000236083,0.000236083,0.000236083
23,240.146,0.75208,0.75002,0.8599,0.86959,1,0.995,0.81755,0.75812,0.82002,0.84497,0.000210706,0.000210706,0.000210706
24,249.672,0.73,0.71634,0.86496,0.92117,1,0.995,0.81132,0.76056,0.76221,0.84417,0.000185329,0.000185329,0.000185329
25,262.414,0.71735,0.70386,0.85084,0.96016,1,0.995,0.81589,0.75911,0.70374,0.84231,0.000159952,0.000159952,0.000159952
26,271.994,0.71593,0.70016,0.85209,0.96985,1,0.995,0.82365,0.76189,0.67957,0.84285,0.000134575,0.000134575,0.000134575
27,281.894,0.73682,0.67458,0.86198,0.96897,0.99709,0.995,0.82695,0.75257,0.66737,0.84288,0.000109198,0.000109198,0.000109198
28,292.047,0.72655,0.65554,0.8654,0.96622,0.99598,0.995,0.83445,0.73224,0.63899,0.837,8.3821e-05,8.3821e-05,8.3821e-05
29,301.428,0.66208,0.6351,0.85159,0.96297,0.99738,0.995,0.83606,0.72957,0.62434,0.83486,5.8444e-05,5.8444e-05,5.8444e-05
30,311.2,0.68316,0.64402,0.84715,0.96113,0.99973,0.995,0.84089,0.71985,0.61923,0.83247,3.3067e-05,3.3067e-05,3.3067e-05
